"state","state1","zipcode","provider","DOB","RTBtittle1","RTBcontent1","RTBtittle2","RTBcontent2","RTBtittle3","RTBcontent3","carrierid"
"##Montana","MT","59102","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##North Carolina","NC","28269","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##North Dakota","ND","58103","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Nebraska","NE","68104","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##New Hampshire","NH","03103","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##New Jersey","NJ","08701","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##New Mexico","NM","87121","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Nevada","NV","89110","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##New York","NY","11226","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Ohio","OH","43228","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Oklahoma","OK","73160","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Oregon","OR","97229","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Pennsylvania","PA","19120","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Rhode Island","RI","02909","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##South Carolina","SC","29223","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##South Dakota","SD","57106","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Tennessee","TN","37013","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Texas","TX","79936","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Utah","UT","84120","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Virginia","VA","23464","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Vermont","VT","05401","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Washington","WA","98115","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Wisconsin","WI","53215","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##West Virginia","WV","25302","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
"##Wyoming","WY","82001","HCC Advantage","03/06/1995","${uri}","${planname}","${quote_P}","${apply_P}","${review_P}","",""
